"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRECIPITATION","SNOWFALL","MAXTEMP","MINTEMP"
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-28,0.57,0,59,34
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-29,0.65,0,48,35
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-30,0,0,48,33
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-31,0,0,52,32
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-01,0,0,52,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-02,0,0,54,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-03,0,0,39,34
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-04,1.37,5,37,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-05,0.45,2,31,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-06,0,0,35,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-07,0,0,42,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-08,0,0,48,24
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-09,0,0,61,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-10,0,0,68,34
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-11,0.1,0,60,38
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-12,0.72,0,56,40
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-13,0.58,0,59,44
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-14,0.05,0,49,35
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-15,0.13,0,53,36
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-16,0,0,64,32
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-17,0,0,63,32
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-18,0,0,63,36
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-19,0.12,0,42,39
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-20,0.15,0,61,39
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-21,0,0,57,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-22,0,0,47,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-23,0,0,53,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-24,0,0,65,37
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-25,0,0,60,27
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-26,0,0,60,25
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-27,0,0,58,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-28,0.11,0,63,39
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-29,0,0,71,41
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-04-30,0.31,0,70,47
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-01,0.23,0,57,42
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-02,0,0,53,42
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-03,0.02,0,74,44
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-04,0,0,61,41
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-05,0,0,59,42
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-06,0.48,0,47,42
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-07,0,0,72,45
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-08,0,0,75,45
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-09,0.36,0,59,46
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-10,0,0,63,44
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-11,0,0,59,36
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-12,0,0,57,40
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-13,0,0,56,42
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-14,0,0,70,47
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-15,0.03,0,78,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-16,0.6,0,65,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-17,0.09,0,66,46
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-18,0,0,71,51
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-19,0.23,0,58,52
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-20,0,0,62,50
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-21,0,0,74,51
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-22,0.1,0,85,56
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-23,0.04,0,87,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-24,0,0,79,49
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-25,0,0,79,47
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-26,0.01,0,79,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-27,1.25,0,79,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-28,0.3,0,66,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-29,0,0,77,52
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-30,0.24,0,73,49
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-05-31,0.47,0,63,39
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-01,0,0,71,43
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-02,0,0,78,46
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-03,0,0,81,56
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-04,0,0,82,54
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-05,0.08,0,79,58
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-06,0.04,0,82,58
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-07,0.05,0,72,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-08,0.07,0,80,50
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-09,0,0,68,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-10,0.5,0,66,48
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-11,0,0,70,49
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-12,0,0,66,52
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-13,0,0,75,49
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-14,0,0,81,58
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-15,0.24,0,76,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-16,0,0,71,41
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-17,0,0,74,54
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-18,0,0,80,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-19,0,0,90,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-20,0.07,0,90,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-21,1.77,0,91,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-22,0.4,0,83,62
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-23,0.46,0,68,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-24,0,0,84,60
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-25,0.06,0,72,54
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-26,0,0,83,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-27,0.16,0,84,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-28,0,0,84,50
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-29,0,0,74,55
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-06-30,0.09,0,73,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-01,0,0,82,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-02,0,0,77,52
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-03,0,0,81,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-04,0,0,82,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-05,0.05,0,80,66
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-06,0.81,0,84,69
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-07,0.53,0,85,68
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-08,0,0,85,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-09,0,0,87,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-10,0.6,0,86,70
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-11,0.03,0,87,72
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-12,0,0,85,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-13,0.03,0,84,69
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-14,0,0,85,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-15,0,0,85,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-16,0.02,0,88,67
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-17,1.67,0,87,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-18,0.43,0,87,67
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-19,0,0,81,55
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-20,0,0,79,55
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-21,0,0,80,62
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-22,0,0,80,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-23,0.07,0,81,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-24,0.02,0,72,65
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-25,0,0,72,64
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-26,0,0,77,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-27,0,0,79,52
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-28,0,0,81,54
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-29,0.08,0,81,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-30,0.09,0,72,63
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-07-31,0.05,0,85,68
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-01,0.38,0,83,69
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-02,0,0,86,64
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-03,0.53,0,86,66
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-04,0.13,0,81,69
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-05,2.53,0,81,67
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-06,0.5,0,84,64
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-07,0.95,0,65,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-08,0,0,72,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-09,0.31,0,72,59
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-10,0.48,0,79,62
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-11,0,0,79,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-12,0.01,0,79,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-13,0.05,0,71,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-14,0,0,75,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-15,0,0,80,55
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-16,1.02,0,81,58
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-17,0,0,73,60
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-18,0.13,0,75,62
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-19,0.4,0,75,61
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-20,0.55,0,77,54
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-21,0,0,64,48
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-22,0.05,0,67,47
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-23,0,0,69,47
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-24,0,0,76,50
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-25,0,0,77,53
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-26,0,0,78,56
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-27,0.08,0,78,54
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-28,0,0,80,56
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-29,0,0,83,55
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-30,0,0,72,47
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-08-31,0,0,72,51
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-09-01,0.05,0,73,60
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-09-02,0,0,81,57
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-09-03,0,0,71,42
