Gender,Age,AnnualSalary,Purchased
Female,36,78500,0
Male,31,136500,1
Male,58,61500,1
Female,22,55000,0
Female,46,96000,0
Female,63,48500,1
Female,33,28000,0
Male,35,59000,0
Male,41,87000,1
Male,26,81000,0
Female,44,134500,0
Male,39,120500,1
Male,52,67500,0
Female,53,82000,1
Male,43,74500,1
Male,51,23000,1
Female,55,125000,1
Female,60,35500,1
Female,38,59500,0
Male,24,19000,0
Female,56,106500,1
Female,56,36500,1
Male,37,70000,1
Female,61,109500,1
Male,44,81500,0
Female,45,110500,1
Female,55,40500,1
Male,51,143500,0
Male,50,66500,0
Female,26,118000,0
Male,19,19000,0
Male,43,80500,0
Male,31,90500,0
Male,39,62500,0
Female,53,46500,0
Female,44,65500,0
Male,47,25000,1
Female,59,83000,0
Female,42,52500,0
Male,38,54500,0
Female,41,80000,0
Male,35,88000,0
Male,52,90500,1
Female,51,133500,1
Male,20,49000,0
Male,45,32000,1
Male,62,132500,1
Female,54,144500,1
Female,49,132500,1
Female,20,82000,0
Male,43,63500,0
Female,27,16500,0
Female,23,64500,0
Female,58,95000,1
Male,61,43500,1
Male,21,50500,0
Female,34,42500,0
Female,19,87500,0
Male,42,60500,0
Female,47,75500,0
Male,20,77500,0
Male,36,80500,0
Male,40,78500,0
Male,40,146500,1
Female,55,105500,1
Female,40,64500,0
Female,28,55000,0
Male,36,76500,0
Female,51,45500,0
Male,48,33000,1
Female,24,29500,0
Male,30,149500,1
Female,40,76500,1
Female,62,90500,1
Male,57,60000,1
Male,31,74000,0
Female,27,31000,0
Male,42,104000,1
Male,49,90500,1
Male,36,92500,1
Male,45,66500,0
Female,31,34000,0
Male,42,98500,1
Female,32,90500,0
Male,28,59500,0
Male,37,61500,0
Female,58,38000,1
Female,57,28500,1
Female,51,37500,1
Female,27,36500,0
Male,20,20500,0
Male,50,36500,1
Female,21,83500,0
Female,57,110500,1
Male,40,77500,0
Female,21,24500,0
Male,30,44500,0
Male,42,73500,0
Female,40,60000,0
Male,42,65000,0
Male,43,73500,1
Female,42,136500,1
Female,49,36500,1
Male,21,72000,0
Female,58,127500,1
Female,29,88500,0
Male,27,81500,0
Female,42,53000,0
Female,38,80000,0
Female,34,150500,1
Female,42,79000,0
Female,35,44500,0
Male,35,116500,0
Female,26,43000,0
Male,38,81500,0
Female,42,81500,0
Female,39,75000,1
Male,47,43000,0
Female,28,44000,0
Female,44,139000,1
Male,58,75500,1
Female,32,119500,1
Female,34,29500,0
Female,45,131000,1
Male,31,88500,0
Male,49,89000,1
Male,45,56500,0
Male,26,81500,0
Male,57,61500,1
Male,56,133000,1
Female,47,47000,0
Female,43,54500,0
Male,34,44500,0
Female,20,27500,0
Female,38,149500,1
Male,50,29500,1
Female,49,141000,1
Male,49,81500,1
Female,35,77000,0
Female,28,32500,0
Female,27,73500,0
Female,38,113000,1
Male,49,28000,1
Male,55,71500,1
Male,40,79500,0
Female,20,82000,0
Female,25,33500,0
Male,27,82500,0
Female,51,98500,1
Female,27,137000,1
Female,39,113500,0
Female,37,78000,1
Male,60,34000,1
Male,31,18500,0
Female,47,51000,1
Male,36,73500,0
Female,20,36000,0
Male,40,43500,0
Female,36,98500,1
Female,60,43500,0
Female,45,140500,1
Male,46,59000,0
Male,38,24500,0
Female,41,72000,0
Male,24,64500,0
Male,42,79500,0
Male,19,25000,0
Male,28,91500,0
Male,57,134500,1
Male,33,19500,0
Male,28,89000,0
Female,59,96500,1
Male,43,66500,0
Male,42,136500,1
Male,19,85000,0
Female,61,49500,1
Male,50,75500,0
Female,34,43000,0
Male,44,74500,0
Female,48,51500,1
Male,37,74000,0
Female,37,51500,0
Male,39,106000,1
Female,42,31500,0
Male,63,104500,1
Female,46,41000,1
Male,38,71500,1
Female,52,143500,1
Female,51,89500,1
Female,26,15000,0
Female,32,69500,0
Male,38,63500,0
Female,48,114500,1
Female,41,52500,0
Male,52,88500,1
Female,61,47500,1
Female,62,44500,0
Female,48,30000,1
Female,34,70500,0
Male,29,43000,0
Male,38,80500,1
Female,50,52500,1
Female,58,34500,1
Female,34,72000,0
Male,24,21500,0
Female,42,73500,0
Female,38,79500,0
Male,48,24500,1
Male,46,27500,1
Female,50,44000,0
Female,48,48500,0
Female,29,56500,0
Male,38,73500,0
Male,61,35500,1
Male,43,55500,0
Female,40,139500,1
Female,41,143500,1
Male,36,59500,0
Female,45,45000,1
Male,19,70000,0
Female,43,133000,0
Male,38,61000,0
Female,55,92500,1
Female,54,104000,1
Male,25,87000,0
Male,31,76000,0
Male,60,42000,1
Female,38,81500,0
Female,36,72500,0
Female,45,92500,1
Female,54,148500,1
Male,29,60500,0
Female,23,28000,0
Male,46,88000,1
Male,26,30000,0
Female,39,81500,0
Male,45,151500,1
Female,36,51500,0
Female,40,62500,0
Male,25,85500,0
Female,52,147500,1
Female,30,116000,0
Male,29,43000,0
Male,40,65000,0
Male,20,71500,0
Male,25,80000,0
Female,43,81500,1
Female,53,91500,1
Female,46,135500,0
Female,56,84500,1
Female,26,80000,0
Male,31,18000,0
Female,62,31500,1
Male,42,149000,1
Male,48,34500,1
Female,36,66500,0
Female,31,89000,0
Female,37,55500,0
Female,41,57500,0
Female,28,59500,0
Male,33,43000,0
Male,63,36500,1
Female,50,36000,1
Female,34,25000,0
Male,29,33500,0
Male,42,46500,0
Male,28,90500,0
Male,21,88000,0
Female,53,34000,1
Female,38,65000,0
Female,21,68000,0
Male,41,66500,0
Female,43,112000,1
Male,47,89500,1
Male,38,57500,0
Female,29,45500,0
Male,38,71000,0
Female,47,107000,1
Female,41,72000,0
Female,29,85500,0
Female,37,146000,1
Male,41,61500,0
Female,36,148500,1
Male,26,32000,0
Male,32,75500,0
Female,26,72000,0
Male,42,80500,0
Male,61,103500,1
Female,53,139500,1
Male,43,77500,0
Female,47,50000,1
Male,31,50500,0
Female,49,84500,0
Female,37,127500,1
Female,52,90000,1
Male,46,23000,1
Male,23,19500,0
Male,31,16500,0
Male,35,72000,0
Female,19,26000,0
Male,32,120000,1
Female,38,63500,0
Female,40,82500,0
Female,19,69500,0
Female,22,63000,0
Female,59,106500,1
Female,46,46500,1
Male,48,44500,0
Male,46,131500,1
Female,41,51000,0
Female,58,47000,1
Male,39,146500,1
Female,57,105500,1
Male,35,79000,0
Female,39,59000,0
Male,44,130500,1
Female,34,114500,0
Female,61,25500,1
Female,38,58500,0
Female,42,75000,0
Female,30,29500,0
Female,28,37000,0
Female,53,39500,1
Male,25,24500,0
Female,60,46000,1
Male,52,24500,1
Male,40,123500,1
Female,33,69000,0
Male,27,17500,0
Female,56,126500,1
Female,38,50000,0
Male,41,108500,1
Female,43,74500,0
Male,47,80500,1
Female,38,94500,1
Female,52,138000,1
Female,27,96000,1
Male,40,57000,0
Female,46,22000,0
Male,32,18000,0
Female,32,117000,0
Male,40,59000,0
Female,39,56500,0
Female,56,131500,1
Female,30,79000,0
Male,41,76500,0
Female,61,40500,1
Male,56,74500,1
Male,35,39000,0
Female,48,131000,1
Female,36,63000,0
Female,38,138500,1
Female,51,146000,1
Female,59,29000,1
Female,28,85500,0
Male,40,72500,1
Male,23,63000,0
Male,56,40500,1
Male,41,73500,0
Male,26,91500,0
Male,20,26500,0
Male,24,84000,0
Female,50,40500,1
Male,42,65000,0
Female,27,58000,0
Female,23,66000,0
Female,47,83500,0
Male,49,91500,1
Female,35,73500,0
Female,57,26000,1
Male,39,96000,1
Female,31,80500,0
Female,59,24500,1
Male,40,81500,1
Female,43,109500,1
Female,42,70000,0
Female,35,50000,0
Female,39,51500,0
Male,50,29500,1
Female,32,86000,0
Male,35,27000,0
Female,40,135500,1
Female,20,22500,0
Male,21,75500,0
Female,49,135500,1
Male,36,51500,0
Male,36,21500,0
Female,58,132500,1
Female,44,74500,0
Male,40,135500,1
Male,20,86000,0
Male,28,21500,0
Male,23,82500,0
Male,48,41000,1
Female,43,76500,0
Female,19,21000,0
Female,30,62000,0
Male,32,18000,0
Female,53,38500,1
Male,44,54500,0
Male,37,55000,0
Male,46,28000,1
Male,36,62500,0
Male,54,70000,1
Female,44,39000,0
Male,51,92500,1
Female,47,97500,0
Female,32,150000,1
Female,62,78500,1
Female,25,90500,0
Female,42,61500,0
Male,35,58000,0
Male,25,22000,0
Male,41,48500,0
Female,58,23000,1
Male,46,33500,1
Male,44,89500,1
Male,35,108000,0
Female,44,74500,0
Female,48,96000,1
Female,45,55500,0
Male,41,60500,0
Female,54,105500,1
Male,22,18000,0
Male,18,82000,0
Male,30,62500,0
Male,40,61000,0
Male,41,59000,0
Male,52,76500,0
Female,21,16000,0
Female,27,81500,0
Male,29,75000,0
Male,29,61000,0
Male,27,90000,0
Male,24,23000,0
Female,37,80000,0
Female,26,35000,0
Female,22,27000,0
Male,53,72000,1
Female,27,53500,0
Male,28,79000,0
Female,44,74500,0
Female,43,71500,0
Male,59,145500,1
Male,24,55000,0
Male,31,81500,0
Female,37,71000,0
Female,52,135500,0
Male,60,83000,1
Male,36,125000,1
Female,25,28500,0
Female,29,86500,0
Female,37,57000,0
Male,60,42000,1
Female,60,124500,1
Female,54,108000,1
Male,20,74000,0
Female,45,81500,0
Female,49,24500,0
Male,63,44500,1
Male,47,118500,1
Female,27,44500,0
Female,38,52500,0
Male,55,39000,1
Female,18,86000,0
Female,18,68000,0
Male,61,84500,1
Female,28,85000,0
Female,26,52000,0
Female,36,73500,0
Male,32,19500,0
Female,35,25000,0
Female,54,35500,1
Female,40,82500,0
Male,43,55500,0
Female,46,114500,1
Female,24,89000,0
Male,37,144000,1
Female,46,74000,0
Male,43,105500,1
Female,48,52500,1
Male,42,108500,1
Male,50,89500,1
Male,30,49000,0
Male,33,31000,0
Male,39,71000,0
Male,40,54500,0
Female,51,134000,0
Female,53,22500,1
Male,37,100500,1
Female,40,80500,0
Male,22,73500,0
Female,41,115500,1
Female,45,82500,1
Male,29,90500,0
Female,60,89500,1
Male,38,93500,1
Female,47,42500,1
Male,34,112000,1
Male,30,17000,0
Female,44,82500,0
Male,29,80500,0
Male,29,124500,1
Female,37,76500,0
Male,50,25500,1
Female,36,45500,0
Female,59,42000,0
Female,57,33000,1
Male,49,34500,1
Male,27,31500,0
Male,49,42500,1
Female,30,84500,0
Male,38,53500,0
Female,41,60000,0
Female,43,91500,1
Female,53,90500,1
Male,35,55000,0
Male,50,45500,0
Male,45,56500,0
Female,34,61500,0
Female,42,72500,0
Female,19,45500,0
Male,36,40500,0
Male,48,81500,0
Female,26,84000,0
Male,26,88500,0
Female,36,54000,0
Female,42,80000,1
Male,41,58500,0
Male,40,57000,0
Female,35,60000,0
Male,39,101500,1
Male,35,91000,1
Female,42,75500,0
Female,42,73500,0
Male,38,61000,0
Female,54,26000,1
Male,47,105000,1
Male,37,77000,0
Male,42,53500,0
Male,36,89500,0
Female,35,23000,0
Male,35,50000,0
Male,28,89500,0
Male,27,33500,0
Male,49,142500,0
Female,42,61500,0
Male,41,73500,0
Female,51,32500,1
Male,36,52000,0
Male,60,131500,1
Male,40,57000,0
Female,39,65500,0
Male,33,101500,1
Male,46,117000,1
Male,35,73000,0
Male,60,102000,1
Female,32,135000,1
Male,19,76000,0
Female,39,128500,1
Female,38,62500,0
Female,55,23500,1
Male,35,113500,1
Male,29,80000,0
Female,47,113000,1
Male,41,72000,0
Female,43,62500,0
Male,44,54500,0
Male,30,76500,0
Female,50,146500,1
Female,52,114000,0
Female,28,58500,0
Female,36,126000,1
Male,37,52000,0
Male,59,135500,1
Male,41,58500,0
Male,23,20000,0
Male,25,59500,0
Female,37,80000,0
Male,39,122000,1
Female,60,30500,1
Female,40,142000,1
Male,47,24500,1
Male,36,74500,0
Male,38,41500,0
Female,55,27500,1
Female,60,28500,1
Male,34,115000,0
Male,27,87500,0
Female,33,118500,0
Female,28,97500,1
Female,29,83000,0
Female,33,51000,0
Female,53,115500,0
Male,38,76500,0
Male,37,53000,0
Male,30,81500,0
Male,38,145500,1
Female,48,119000,1
Female,33,113000,0
Female,50,142500,1
Male,45,79000,0
Male,51,35500,1
Female,35,72000,0
Male,41,79000,0
Female,53,143000,1
Female,55,109500,1
Female,46,82000,0
Female,25,56500,0
Male,18,52000,0
Male,58,144000,1
Female,29,60500,0
Female,50,20000,1
Female,36,58500,0
Male,59,62500,1
Female,48,47500,1
Female,50,37500,1
Female,27,85500,0
Male,27,16500,0
Female,24,49500,0
Female,42,77500,1
Male,35,44500,0
Female,44,62500,0
Male,37,126500,1
Male,63,44500,1
Male,41,72500,1
Male,47,20000,1
Male,27,88000,0
Female,56,104000,1
Male,38,77500,0
Female,31,68000,0
Male,50,87500,1
Male,52,30500,1
Female,49,97500,1
Female,38,74500,0
Female,24,55000,0
Male,42,124500,1
Female,46,32000,1
Female,41,52500,0
Male,60,62500,1
Female,40,59500,0
Female,22,17500,0
Female,40,95500,1
Male,40,55500,0
Female,55,116500,0
Female,28,18500,0
Female,27,119500,0
Male,43,65500,0
Female,41,76500,0
Female,37,64500,0
Male,39,134000,1
Male,48,141000,0
Male,37,119500,1
Male,60,76500,1
Male,37,53500,0
Female,38,79500,1
Male,30,15000,0
Female,53,22500,1
Female,58,27500,1
Female,43,144500,1
Female,40,80500,1
Female,37,93000,1
Male,30,80000,0
Female,45,72500,0
Female,45,22000,1
Female,23,48000,0
Female,38,50000,0
Male,26,23500,0
Female,33,87500,0
Female,27,54000,0
Male,43,67500,0
Male,59,130000,1
Male,42,53500,0
Female,31,118000,1
Male,39,72500,0
Male,31,66000,0
Male,35,38000,0
Female,60,84500,0
Male,38,56500,0
Male,61,146500,1
Male,26,34500,0
Male,39,127500,1
Male,36,28500,0
Male,45,67500,0
Female,48,35000,1
Male,41,63500,0
Male,21,87500,0
Female,42,90000,1
Male,25,20500,0
Male,26,86000,0
Male,37,72000,0
Female,40,72500,0
Female,60,108000,1
Male,19,53500,0
Female,54,83500,1
Male,36,60500,0
Female,41,67500,0
Female,37,33000,0
Male,54,73500,1
Male,41,53500,0
Male,56,60000,1
Male,43,150500,1
Male,49,119500,1
Female,39,61000,0
Female,23,82000,0
Female,31,63500,0
Male,35,75000,0
Female,48,145500,1
Male,39,77000,0
Female,42,73500,0
Female,33,118500,1
Female,47,49000,1
Male,40,71000,1
Female,23,28500,0
Male,41,58500,0
Female,35,47000,0
Female,40,148500,1
Male,36,76500,0
Male,46,23500,1
Male,31,108500,1
Female,55,140500,1
Female,52,41500,1
Male,40,47000,0
Male,45,106500,1
Male,36,60000,0
Male,42,73500,0
Male,52,91500,1
Male,36,118000,1
Female,47,30000,1
Male,43,66500,0
Female,58,123500,1
Female,57,122000,1
Female,49,31500,1
Male,49,75500,1
Male,37,145500,1
Female,42,64500,0
Male,45,22000,1
Male,47,60500,0
Male,39,35500,0
Female,35,26500,0
Female,22,69500,0
Male,37,34500,0
Female,61,97500,1
Female,33,60000,0
Male,55,152500,1
Male,36,54500,0
Male,39,62500,0
Male,48,35500,1
Female,32,117000,1
Male,33,19500,0
Female,21,83500,0
Male,39,72500,0
Female,41,72000,0
Female,24,27000,0
Female,51,140500,1
Male,38,71000,0
Female,52,21000,1
Male,34,43000,0
Male,48,106500,1
Female,29,28000,0
Female,59,102500,1
Female,29,47000,0
Female,50,49500,0
Male,38,75500,0
Female,36,61500,0
Female,28,59000,0
Male,43,59500,0
Male,57,74000,1
Male,36,109500,0
Female,49,139500,1
Female,34,52500,0
Female,47,141500,1
Female,35,65000,0
Male,50,107500,1
Female,41,73500,0
Male,50,90500,1
Female,56,145500,1
Female,35,57000,0
Male,40,78000,0
Female,49,34500,1
Male,25,90000,0
Male,36,33000,0
Female,48,138000,1
Male,42,54000,0
Male,51,76500,1
Male,49,65000,0
Male,46,80500,0
Male,27,20000,0
Male,39,52500,0
Female,35,97000,1
Male,47,34000,1
Female,52,38000,1
Female,49,30500,1
Female,36,26500,0
Male,26,80500,0
Female,38,34500,0
Female,48,50500,1
Male,32,100000,1
Female,40,75000,0
Female,42,81500,0
Male,41,62500,0
Female,24,83500,0
Male,52,150000,1
Female,48,133500,1
Male,41,52000,0
Male,19,83500,0
Male,29,148000,1
Female,58,101000,1
Female,36,48500,0
Male,63,85500,1
Female,35,44000,0
Male,22,81000,0
Female,24,32000,0
Female,39,71000,0
Female,31,15000,0
Female,60,77500,1
Male,32,59500,0
Female,46,23500,1
Female,39,79000,0
Male,39,60500,0
Male,42,54000,0
Female,28,87000,0
Female,45,77500,0
Male,48,33000,1
Female,31,71000,0
Male,33,121500,1
Female,27,84000,0
Male,25,56500,0
Female,30,48500,0
Female,24,67500,0
Female,54,136500,0
Female,53,104000,1
Male,38,59000,0
Female,47,23500,0
Female,28,138500,1
Female,48,134000,1
Female,44,73500,0
