"date","units","daily_aqi_value","state","county"
"6/23/11","ug/m3 LC",14,"North Carolina","Durham"
"6/26/11","ug/m3 LC",46,"North Carolina","Durham"
"6/29/11","ug/m3 LC",27,"North Carolina","Durham"
"7/2/11","ug/m3 LC",55,"North Carolina","Durham"
"7/5/11","ug/m3 LC",32,"North Carolina","Durham"
"7/8/11","ug/m3 LC",40,"North Carolina","Durham"
"7/14/11","ug/m3 LC",30,"North Carolina","Durham"
"7/17/11","ug/m3 LC",26,"North Carolina","Durham"
"7/18/11","ug/m3 LC",31,"North Carolina","Durham"
"7/21/11","ug/m3 LC",56,"North Carolina","Durham"
"7/23/11","ug/m3 LC",54,"North Carolina","Durham"
"7/26/11","ug/m3 LC",32,"North Carolina","Durham"
"7/29/11","ug/m3 LC",46,"North Carolina","Durham"
"8/1/11","ug/m3 LC",35,"North Carolina","Durham"
"8/4/11","ug/m3 LC",52,"North Carolina","Durham"
"8/7/11","ug/m3 LC",33,"North Carolina","Durham"
"8/10/11","ug/m3 LC",29,"North Carolina","Durham"
"8/13/11","ug/m3 LC",49,"North Carolina","Durham"
"8/16/11","ug/m3 LC",33,"North Carolina","Durham"
"8/19/11","ug/m3 LC",44,"North Carolina","Durham"
"8/22/11","ug/m3 LC",27,"North Carolina","Durham"
"8/25/11","ug/m3 LC",21,"North Carolina","Durham"
"8/28/11","ug/m3 LC",49,"North Carolina","Durham"
"8/31/11","ug/m3 LC",28,"North Carolina","Durham"
"9/3/11","ug/m3 LC",52,"North Carolina","Durham"
"9/6/11","ug/m3 LC",12,"North Carolina","Durham"
"9/9/11","ug/m3 LC",35,"North Carolina","Durham"
"9/12/11","ug/m3 LC",38,"North Carolina","Durham"
"9/15/11","ug/m3 LC",43,"North Carolina","Durham"
"9/18/11","ug/m3 LC",9,"North Carolina","Durham"
"9/21/11","ug/m3 LC",15,"North Carolina","Durham"
"9/24/11","ug/m3 LC",18,"North Carolina","Durham"
"9/27/11","ug/m3 LC",27,"North Carolina","Durham"
"9/30/11","ug/m3 LC",19,"North Carolina","Durham"
"1/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"1/31/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"2/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"3/31/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"4/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"5/31/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"6/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"7/31/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"8/31/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"9/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"10/31/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"11/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/1/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/2/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/3/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/4/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/5/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/6/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/7/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/8/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/9/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/10/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/11/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/12/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/13/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/14/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/15/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/16/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/17/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/18/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/19/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/20/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/21/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/22/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/23/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/24/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/25/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/26/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/27/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/28/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/29/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/30/11","ug/m3 LC",NA,"North Carolina","Durham"
"12/31/11","ug/m3 LC",NA,"North Carolina","Durham"
